year,driver,gp,tires,from,to,laps
2014,Marcus Ericsson,Monaco,Soft New,1,25,25
2014,Marcus Ericsson,Monaco,Supersoft New,26,51,26
2014,Marcus Ericsson,Monaco,Supersoft New,52,77,26
2014,Kimi Räikkönen,Monaco,Supersoft Used,1,26,26
2014,Kimi Räikkönen,Monaco,Soft New,27,28,2
2014,Kimi Räikkönen,Monaco,Soft Used,29,73,45
2014,Kimi Räikkönen,Monaco,Supersoft Used,74,77,4
2014,Kamui Kobayashi,Monaco,Supersoft New,1,25,25
2014,Kamui Kobayashi,Monaco,Soft New,26,62,37
2014,Kamui Kobayashi,Monaco,Supersoft New,63,75,13
2014,Max Chilton,Monaco,Soft New,1,24,24
2014,Max Chilton,Monaco,Supersoft New,25,27,3
2014,Max Chilton,Monaco,Supersoft New,28,66,39
2014,Max Chilton,Monaco,Supersoft Used,67,75,9
2014,Esteban Gutierrez,Monaco,Supersoft New,1,25,25
2014,Esteban Gutierrez,Monaco,Soft New,26,59,34
2014,Valtteri Bottas,Monaco,Supersoft New,1,26,26
2014,Valtteri Bottas,Monaco,Soft New,27,55,29
2014,Jean-Eric Vergne,Monaco,Supersoft Used,1,26,26
2014,Jean-Eric Vergne,Monaco,Soft New,26,50,25
2014,Adrian Sutil,Monaco,Soft New,1,1,1
2014,Adrian Sutil,Monaco,Supersoft New,2,24,23
2014,Daniil Kvyat,Monaco,Supersoft Used,1,10,10
2014,Sebastian Vettel,Monaco,Supersoft Used,1,4,4
2014,Sebastian Vettel,Monaco,Soft New,5,5,1
2014,Sergio Perez,Monaco,Supersoft Used,1,1,1
2014,Pastor Maldonado,Monaco,Soft New,1,1,1
2014,Nico Hulkenberg,Monaco,Soft New,1,26,26
2014,Daniel Ricciardo,Canada,Supersoft Used,1,13,13
2014,Daniel Ricciardo,Canada,Soft New,14,37,24
2014,Daniel Ricciardo,Canada,Soft Used,38,70,33
2014,Nico Rosberg,Canada,Supersoft Used,1,18,18
2014,Nico Rosberg,Canada,Soft New,19,44,26
2014,Nico Rosberg,Canada,Soft New,45,70,26
2014,Sebastian Vettel,Canada,Supersoft Used,1,15,15
2014,Sebastian Vettel,Canada,Soft New,16,36,21
2014,Sebastian Vettel,Canada,Soft New,37,70,34
2014,Jenson Button,Canada,Supersoft Used,1,14,14
2014,Jenson Button,Canada,Soft New,15,38,24
2014,Jenson Button,Canada,Soft New,39,70,32
2014,Nico Hulkenberg,Canada,Soft New,1,41,41
2014,Nico Hulkenberg,Canada,Supersoft New,42,70,29
2014,Fernando Alonso,Canada,Supersoft Used,1,16,16
2014,Fernando Alonso,Canada,Soft New,17,44,28
2014,Fernando Alonso,Canada,Soft New,45,70,26
2014,Valtteri Bottas,Canada,Supersoft Used,1,14,14
2014,Valtteri Bottas,Canada,Soft New,15,35,21
2014,Valtteri Bottas,Canada,Soft Used,36,70,35
2014,Jean-Eric Vergne,Canada,Supersoft Used,1,15,15
2014,Jean-Eric Vergne,Canada,Soft New,16,39,24
2014,Jean-Eric Vergne,Canada,Soft New,40,70,31
2014,Kevin Magnussen,Canada,Supersoft New,1,15,15
2014,Kevin Magnussen,Canada,Soft New,16,45,30
2014,Kevin Magnussen,Canada,Soft New,46,70,25
2014,Kimi Räikkönen,Canada,Supersoft Used,1,17,17
2014,Kimi Räikkönen,Canada,Soft New,18,39,22
2014,Kimi Räikkönen,Canada,Soft Used,40,70,31
2014,Sergio Perez,Canada,Supersoft New,1,34,34
2014,Sergio Perez,Canada,Soft New,35,69,35
2014,Felipe Massa,Canada,Supersoft Used,1,15,15
2014,Felipe Massa,Canada,Soft New,16,48,33
2014,Felipe Massa,Canada,Soft Used,49,69,21
2014,Adrian Sutil,Canada,Supersoft New,1,15,15
2014,Adrian Sutil,Canada,Soft New,16,40,25
2014,Adrian Sutil,Canada,Soft New,41,69,29
2014,Esteban Gutierrez,Canada,Soft New,1,1,1
2014,Esteban Gutierrez,Canada,Supersoft New,2,2,1
2014,Esteban Gutierrez,Canada,Soft New,3,32,30
2014,Esteban Gutierrez,Canada,Soft Used,33,64,32
2014,Romain Grosjean,Canada,Supersoft Used,1,11,11
2014,Romain Grosjean,Canada,Soft New,12,46,35
2014,Romain Grosjean,Canada,Soft New,47,59,13
2014,Daniil Kvyat,Canada,Soft New,1,29,29
2014,Daniil Kvyat,Canada,Supersoft New,30,46,17
2014,Daniil Kvyat,Canada,Soft New,47,47,1
2014,Lewis Hamilton,Canada,Supersoft Used,1,19,19
2014,Lewis Hamilton,Canada,Soft New,20,45,26
2014,Lewis Hamilton,Canada,Soft New,46,46,1
2014,Kamui Kobayashi,Canada,Supersoft New,1,23,23
2014,Pastor Maldonado,Canada,Soft New,1,21,21
2014,Marcus Ericsson,Canada,Soft New,1,7,7
2014,Max Chilton,Canada,Soft New,1,1,1
2014,Jules Bianchi,Canada,Soft New,1,1,1
2014,Nico Rosberg,Austria,Supersoft Used,1,11,11
2014,Nico Rosberg,Austria,Soft New,12,40,29
2014,Nico Rosberg,Austria,Soft New,41,71,31
2014,Lewis Hamilton,Austria,Supersoft Used,1,13,13
2014,Lewis Hamilton,Austria,Soft New,14,39,26
2014,Lewis Hamilton,Austria,Soft Used,40,71,32
2014,Valtteri Bottas,Austria,Supersoft Used,1,15,15
2014,Valtteri Bottas,Austria,Soft New,16,41,26
2014,Valtteri Bottas,Austria,Soft Used,42,71,30
2014,Felipe Massa,Austria,Supersoft Used,1,14,14
2014,Felipe Massa,Austria,Soft New,15,43,29
2014,Felipe Massa,Austria,Soft Used,44,71,28
2014,Fernando Alonso,Austria,Supersoft Used,1,14,14
2014,Fernando Alonso,Austria,Soft New,15,47,33
2014,Fernando Alonso,Austria,Soft New,48,71,24
2014,Sergio Perez,Austria,Soft New,1,29,29
2014,Sergio Perez,Austria,Soft Used,30,55,26
2014,Sergio Perez,Austria,Supersoft New,56,71,16
2014,Kevin Magnussen,Austria,Supersoft Used,1,10,10
2014,Kevin Magnussen,Austria,Soft New,11,40,30
2014,Kevin Magnussen,Austria,Soft New,41,71,31
2014,Daniel Ricciardo,Austria,Supersoft Used,1,10,10
2014,Daniel Ricciardo,Austria,Soft New,11,43,33
2014,Daniel Ricciardo,Austria,Soft Used,44,71,28
2014,Nico Hulkenberg,Austria,Supersoft Used,1,9,9
2014,Nico Hulkenberg,Austria,Soft New,10,39,30
2014,Nico Hulkenberg,Austria,Soft Used,40,71,32
2014,Kimi Räikkönen,Austria,Supersoft Used,1,15,15
2014,Kimi Räikkönen,Austria,Soft New,16,44,29
2014,Kimi Räikkönen,Austria,Soft Used,45,71,27
2014,Jenson Button,Austria,Soft New,1,27,27
2014,Jenson Button,Austria,Soft New,28,58,31
2014,Jenson Button,Austria,Supersoft New,59,71,13
2014,Pastor Maldonado,Austria,Soft New,1,26,26
2014,Pastor Maldonado,Austria,Soft Used,27,56,30
2014,Pastor Maldonado,Austria,Supersoft New,57,70,14
2014,Adrian Sutil,Austria,Supersoft New,1,11,11
2014,Adrian Sutil,Austria,Soft New,12,43,32
2014,Adrian Sutil,Austria,Soft New,44,70,27
2014,Romain Grosjean,Austria,Supersoft New,1,3,3
2014,Romain Grosjean,Austria,Soft New,4,27,24
2014,Romain Grosjean,Austria,Soft New,28,70,43
2014,Jules Bianchi,Austria,Soft New,1,40,40
2014,Jules Bianchi,Austria,Supersoft New,41,69,29
2014,Kamui Kobayashi,Austria,Supersoft New,1,14,14
2014,Kamui Kobayashi,Austria,Soft New,15,69,55
2014,Max Chilton,Austria,Soft New,1,37,37
2014,Max Chilton,Austria,Supersoft New,38,69,32
2014,Marcus Ericsson,Austria,Soft New,1,28,28
2014,Marcus Ericsson,Austria,Supersoft New,29,43,15
2014,Esteban Gutierrez,Austria,Supersoft New,1,12,12
2014,Esteban Gutierrez,Austria,Soft New,12,45,34
2014,Esteban Gutierrez,Austria,Soft New,46,69,24
2014,Jean-Eric Vergne,Austria,Supersoft New,1,8,8
2014,Jean-Eric Vergne,Austria,Soft New,9,39,31
2014,Sebastian Vettel,Austria,Supersoft New,1,20,20
2014,Sebastian Vettel,Austria,Soft New,21,28,8
2014,Sebastian Vettel,Austria,Soft Used,29,37,9
2014,Daniil Kvyat,Austria,Soft New,11,26,16
2014,Daniil Kvyat,Austria,Supersoft Used,1,10,10
2014,Jean-Eric Vergne,Austria,Soft New,40,61,22
2014,Marcus Ericsson,Austria,Soft New,44,69,26
2014,Lewis Hamilton,Great Britain,Medium Used,1,24,24
2014,Lewis Hamilton,Great Britain,Hard New,25,41,17
2014,Lewis Hamilton,Great Britain,Hard New,42,52,11
2014,Valtteri Bottas,Great Britain,Medium New,1,31,31
2014,Valtteri Bottas,Great Britain,Hard New,32,52,21
2014,Daniel Ricciardo,Great Britain,Medium Used,1,1,1
2014,Daniel Ricciardo,Great Britain,Hard New,2,15,14
2014,Daniel Ricciardo,Great Britain,Medium New,16,52,37
2014,Jenson Button,Great Britain,Medium Used,1,1,1
2014,Jenson Button,Great Britain,Medium Used,2,28,27
2014,Jenson Button,Great Britain,Hard New,29,52,24
2014,Sebastian Vettel,Great Britain,Medium Used,1,1,1
2014,Sebastian Vettel,Great Britain,Hard New,2,10,9
2014,Sebastian Vettel,Great Britain,Medium Used,11,33,23
2014,Sebastian Vettel,Great Britain,Medium Used,34,52,19
2014,Fernando Alonso,Great Britain,Hard New,1,1,1
2014,Fernando Alonso,Great Britain,Medium New,2,25,24
2014,Fernando Alonso,Great Britain,Medium New,26,52,27
2014,Kevin Magnussen,Great Britain,Medium Used,1,27,27
2014,Kevin Magnussen,Great Britain,Hard New,28,52,25
2014,Nico Hulkenberg,Great Britain,Medium Used,1,29,29
2014,Nico Hulkenberg,Great Britain,Hard New,30,52,23
2014,Daniil Kvyat,Great Britain,Medium Used,1,14,14
2014,Daniil Kvyat,Great Britain,Medium New,15,35,21
2014,Daniil Kvyat,Great Britain,Hard New,36,52,17
2014,Jean-Eric Vergne,Great Britain,Medium Used,1,1,1
2014,Jean-Eric Vergne,Great Britain,Hard New,2,27,26
2014,Jean-Eric Vergne,Great Britain,Medium New,28,51,24
2014,Sergio Perez,Great Britain,Medium Used,1,1,1
2014,Sergio Perez,Great Britain,Hard New,2,26,25
2014,Sergio Perez,Great Britain,Medium Used,27,51,25
2014,Romain Grosjean,Great Britain,Medium New,1,1,1
2014,Romain Grosjean,Great Britain,Hard New,2,30,29
2014,Romain Grosjean,Great Britain,Medium New,31,51,21
2014,Adrian Sutil,Great Britain,Medium New,1,29,29
2014,Adrian Sutil,Great Britain,Hard New,30,51,22
2014,Jules Bianchi,Great Britain,Medium New,1,29,29
2014,Jules Bianchi,Great Britain,Hard New,30,51,22
2014,Kamui Kobayashi,Great Britain,Medium New,1,18,18
2014,Kamui Kobayashi,Great Britain,Hard New,19,29,11
2014,Kamui Kobayashi,Great Britain,Medium Used,30,50,21
2014,Max Chilton,Great Britain,Medium New,1,1,1
2014,Max Chilton,Great Britain,Medium Used,2,29,28
2014,Max Chilton,Great Britain,Hard New,30,50,21
2014,Pastor Maldonado,Great Britain,Medium New,1,26,26
2014,Pastor Maldonado,Great Britain,Hard New,27,49,23
2014,Nico Rosberg,Great Britain,Medium Used,1,18,18
2014,Nico Rosberg,Great Britain,Medium Used,19,29,11
2014,Marcus Ericsson,Great Britain,Medium New,1,11,11
2014,Esteban Gutierrez,Great Britain,Medium New,1,1,1
2014,Esteban Gutierrez,Great Britain,Medium Used,2,9,8
2014,Felipe Massa,Great Britain,Medium New,1,1,1
2014,Kimi Räikkönen,Great Britain,Hard New,1,1,1
2014,Nico Rosberg,Germany,Supersoft Used,1,15,15
2014,Nico Rosberg,Germany,Soft New,16,41,26
2014,Nico Rosberg,Germany,Soft New,42,67,26
2014,Valtteri Bottas,Germany,Supersoft Used,1,15,15
2014,Valtteri Bottas,Germany,Soft New,16,40,25
2014,Valtteri Bottas,Germany,Soft Used,41,67,27
2014,Lewis Hamilton,Germany,Soft New,1,26,26
2014,Lewis Hamilton,Germany,Soft New,27,42,16
2014,Lewis Hamilton,Germany,Supersoft New,43,50,8
2014,Lewis Hamilton,Germany,Supersoft New,51,67,17
2014,Sebastian Vettel,Germany,Supersoft Used,1,14,14
2014,Sebastian Vettel,Germany,Soft New,15,34,20
2014,Sebastian Vettel,Germany,Supersoft Used,35,45,11
2014,Sebastian Vettel,Germany,Soft Used,46,67,22
2014,Fernando Alonso,Germany,Supersoft Used,1,12,12
2014,Fernando Alonso,Germany,Soft New,13,33,21
2014,Fernando Alonso,Germany,Soft New,34,55,22
2014,Fernando Alonso,Germany,Supersoft Used,56,67,12
2014,Daniel Ricciardo,Germany,Supersoft Used,1,13,13
2014,Daniel Ricciardo,Germany,Soft Used,14,35,22
2014,Daniel Ricciardo,Germany,Supersoft Used,36,46,11
2014,Daniel Ricciardo,Germany,Soft New,47,67,21
2014,Nico Hulkenberg,Germany,Supersoft Used,1,14,14
2014,Nico Hulkenberg,Germany,Soft New,15,39,25
2014,Nico Hulkenberg,Germany,Soft New,40,67,28
2014,Jenson Button,Germany,Supersoft New,1,13,13
2014,Jenson Button,Germany,Soft New,14,31,18
2014,Jenson Button,Germany,Soft New,32,61,30
2014,Jenson Button,Germany,Supersoft Used,62,67,6
2014,Kevin Magnussen,Germany,Supersoft Used,1,1,1
2014,Kevin Magnussen,Germany,Soft New,2,29,28
2014,Kevin Magnussen,Germany,Soft New,30,53,24
2014,Kevin Magnussen,Germany,Supersoft Used,54,66,13
2014,Sergio Perez,Germany,Supersoft Used,1,14,14
2014,Sergio Perez,Germany,Soft New,15,34,20
2014,Sergio Perez,Germany,Soft New,35,52,18
2014,Sergio Perez,Germany,Supersoft Used,53,66,14
2014,Kimi Räikkönen,Germany,Soft New,1,20,20
2014,Kimi Räikkönen,Germany,Supersoft New,21,34,14
2014,Kimi Räikkönen,Germany,Soft Used,35,53,19
2014,Kimi Räikkönen,Germany,Supersoft Used,54,66,13
2014,Pastor Maldonado,Germany,Supersoft New,1,18,18
2014,Pastor Maldonado,Germany,Supersoft New,19,38,20
2014,Pastor Maldonado,Germany,Soft New,39,66,28
2014,Jean-Eric Vergne,Germany,Supersoft New,1,13,13
2014,Jean-Eric Vergne,Germany,Soft New,14,37,24
2014,Jean-Eric Vergne,Germany,Supersoft New,38,49,12
2014,Jean-Eric Vergne,Germany,Soft New,50,66,17
2014,Esteban Gutierrez,Germany,Supersoft Used,1,14,14
2014,Esteban Gutierrez,Germany,Supersoft New,15,31,17
2014,Esteban Gutierrez,Germany,Soft New,32,50,19
2014,Esteban Gutierrez,Germany,Soft New,51,66,16
2014,Jules Bianchi,Germany,Supersoft New,1,20,20
2014,Jules Bianchi,Germany,Soft New,21,45,25
2014,Jules Bianchi,Germany,Supersoft New,46,66,21
2014,Kamui Kobayashi,Germany,Supersoft New,1,15,15
2014,Kamui Kobayashi,Germany,Soft New,16,32,17
2014,Kamui Kobayashi,Germany,Soft New,33,48,16
2014,Kamui Kobayashi,Germany,Supersoft New,49,65,17
2014,Max Chilton,Germany,Supersoft New,1,16,16
2014,Max Chilton,Germany,Soft New,33,47,15
2014,Max Chilton,Germany,Supersoft New,48,65,18
2014,Max Chilton,Germany,Soft New,17,32,16
2014,Marcus Ericsson,Germany,Supersoft New,1,3,3
2014,Marcus Ericsson,Germany,Soft New,4,18,15
2014,Marcus Ericsson,Germany,Soft New,19,41,23
2014,Marcus Ericsson,Germany,Supersoft New,42,65,24
2014,Adrian Sutil,Germany,Supersoft New,1,16,16
2014,Adrian Sutil,Germany,Soft New,17,32,16
2014,Adrian Sutil,Germany,Soft New,33,47,15
2014,Daniil Kvyat,Germany,Supersoft New,1,9,9
2014,Daniil Kvyat,Germany,Soft New,10,32,23
2014,Daniil Kvyat,Germany,Soft New,33,44,12
2014,Romain Grosjean,Germany,Soft New,1,24,24
2014,Romain Grosjean,Germany,Supersoft New,25,26,2
2014,Felipe Massa,Germany,Supersoft Used,1,1,1
2014,Daniel Ricciardo,Hungary,Intermediate New,1,8,8
2014,Daniel Ricciardo,Hungary,Soft Used,9,23,15
2014,Daniel Ricciardo,Hungary,Soft New,24,54,31
2014,Daniel Ricciardo,Hungary,Soft New,55,70,16
2014,Fernando Alonso,Hungary,Intermediate New,1,9,9
2014,Fernando Alonso,Hungary,Soft Used,10,38,29
2014,Fernando Alonso,Hungary,Soft New,39,70,32
2014,Lewis Hamilton,Hungary,Intermediate New,1,8,8
2014,Lewis Hamilton,Hungary,Soft New,9,39,31
2014,Lewis Hamilton,Hungary,Medium New,40,70,31
2014,Nico Rosberg,Hungary,Intermediate New,1,9,9
2014,Nico Rosberg,Hungary,Soft Used,10,32,23
2014,Nico Rosberg,Hungary,Soft Used,33,56,24
2014,Nico Rosberg,Hungary,Soft New,57,70,14
2014,Felipe Massa,Hungary,Intermediate New,1,8,8
2014,Felipe Massa,Hungary,Soft Used,9,23,15
2014,Felipe Massa,Hungary,Medium New,24,45,22
2014,Felipe Massa,Hungary,Medium Used,46,70,25
2014,Kimi Räikkönen,Hungary,Intermediate New,1,8,8
2014,Kimi Räikkönen,Hungary,Soft New,9,41,33
2014,Kimi Räikkönen,Hungary,Soft New,42,70,29
2014,Sebastian Vettel,Hungary,Intermediate New,1,9,9
2014,Sebastian Vettel,Hungary,Soft Used,10,33,24
2014,Sebastian Vettel,Hungary,Medium New,34,70,37
2014,Valtteri Bottas,Hungary,Intermediate New,1,9,9
2014,Valtteri Bottas,Hungary,Soft Used,10,23,14
2014,Valtteri Bottas,Hungary,Medium New,24,59,36
2014,Valtteri Bottas,Hungary,Soft New,60,70,11
2014,Jean-Eric Vergne,Hungary,Intermediate New,1,8,8
2014,Jean-Eric Vergne,Hungary,Soft Used,9,34,26
2014,Jean-Eric Vergne,Hungary,Medium New,35,70,36
2014,Jenson Button,Hungary,Intermediate New,1,8,8
2014,Jenson Button,Hungary,Intermediate New,9,15,7
2014,Jenson Button,Hungary,Soft Used,16,37,22
2014,Jenson Button,Hungary,Medium New,38,70,33
2014,Adrian Sutil,Hungary,Intermediate New,1,8,8
2014,Adrian Sutil,Hungary,Soft Used,9,39,31
2014,Adrian Sutil,Hungary,Soft New,40,70,31
2014,Kevin Magnussen,Hungary,Intermediate New,1,15,15
2014,Kevin Magnussen,Hungary,Soft New,16,39,24
2014,Kevin Magnussen,Hungary,Medium New,40,70,31
2014,Pastor Maldonado,Hungary,Intermediate New,1,8,8
2014,Pastor Maldonado,Hungary,Soft New,9,17,9
2014,Pastor Maldonado,Hungary,Soft New,18,43,26
2014,Pastor Maldonado,Hungary,Soft New,44,70,27
2014,Daniil Kvyat,Hungary,Intermediate New,1,8,8
2014,Daniil Kvyat,Hungary,Soft New,9,30,22
2014,Daniil Kvyat,Hungary,Medium New,31,69,39
2014,Jules Bianchi,Hungary,Intermediate New,1,9,9
2014,Jules Bianchi,Hungary,Soft Used,10,17,8
2014,Jules Bianchi,Hungary,Soft New,18,42,25
2014,Jules Bianchi,Hungary,Soft Used,43,69,27
2014,Max Chilton,Hungary,Intermediate New,1,8,8
2014,Max Chilton,Hungary,Soft New,9,45,37
2014,Max Chilton,Hungary,Soft New,46,69,24
2014,Esteban Gutierrez,Hungary,Intermediate New,1,8,8
2014,Esteban Gutierrez,Hungary,Soft Used,9,32,24
2014,Kamui Kobayashi,Hungary,Intermediate New,1,8,8
2014,Kamui Kobayashi,Hungary,Soft New,9,24,16
2014,Sergio Perez,Hungary,Intermediate New,1,8,8
2014,Sergio Perez,Hungary,Soft New,9,22,14
2014,Nico Hulkenberg,Hungary,Intermediate New,1,8,8
2014,Nico Hulkenberg,Hungary,Soft Used,9,14,6
2014,Romain Grosjean,Hungary,Intermediate New,1,8,8
2014,Romain Grosjean,Hungary,Soft New,9,10,2
2014,Marcus Ericsson,Hungary,Intermediate New,1,7,7
2014,Daniel Ricciardo,Belgium,Soft New,1,11,11
2014,Daniel Ricciardo,Belgium,Soft New,12,27,16
2014,Daniel Ricciardo,Belgium,Medium New,28,44,17
2014,Nico Rosberg,Belgium,Soft New,1,8,8
2014,Nico Rosberg,Belgium,Medium New,9,19,11
2014,Nico Rosberg,Belgium,Medium New,20,34,15
2014,Nico Rosberg,Belgium,Soft New,35,44,10
2014,Valtteri Bottas,Belgium,Soft New,1,12,12
2014,Valtteri Bottas,Belgium,Soft New,13,28,16
2014,Valtteri Bottas,Belgium,Medium New,29,44,16
2014,Kimi Räikkönen,Belgium,Soft New,1,8,8
2014,Kimi Räikkönen,Belgium,Soft New,9,21,13
2014,Kimi Räikkönen,Belgium,Medium New,22,44,23
2014,Sebastian Vettel,Belgium,Soft New,1,10,10
2014,Sebastian Vettel,Belgium,Soft New,11,22,12
2014,Sebastian Vettel,Belgium,Medium New,23,34,12
2014,Sebastian Vettel,Belgium,Soft Used,35,44,10
2014,Kevin Magnussen,Belgium,Soft New,1,11,11
2014,Kevin Magnussen,Belgium,Soft New,12,23,12
2014,Kevin Magnussen,Belgium,Medium New,24,44,21
2014,Jenson Button,Belgium,Soft New,1,13,13
2014,Jenson Button,Belgium,Soft New,14,29,16
2014,Jenson Button,Belgium,Medium New,30,44,15
2014,Fernando Alonso,Belgium,Soft New,1,12,12
2014,Fernando Alonso,Belgium,Soft New,13,25,13
2014,Fernando Alonso,Belgium,Medium New,26,44,19
2014,Sergio Perez,Belgium,Soft New,1,9,9
2014,Sergio Perez,Belgium,Soft New,10,22,13
2014,Sergio Perez,Belgium,Medium New,23,44,22
2014,Daniil Kvyat,Belgium,Soft New,1,10,10
2014,Daniil Kvyat,Belgium,Soft New,11,24,14
2014,Daniil Kvyat,Belgium,Medium New,25,44,20
2014,Nico Hulkenberg,Belgium,Soft New,1,10,10
2014,Nico Hulkenberg,Belgium,Medium New,11,30,20
2014,Nico Hulkenberg,Belgium,Soft New,31,44,14
2014,Jean-Eric Vergne,Belgium,Soft New,1,15,15
2014,Jean-Eric Vergne,Belgium,Medium New,16,29,14
2014,Jean-Eric Vergne,Belgium,Soft New,30,44,15
2014,Felipe Massa,Belgium,Soft New,1,9,9
2014,Felipe Massa,Belgium,Medium New,10,21,12
2014,Felipe Massa,Belgium,Soft New,22,35,14
2014,Felipe Massa,Belgium,Soft Used,36,44,9
2014,Adrian Sutil,Belgium,Medium New,1,11,11
2014,Adrian Sutil,Belgium,Soft New,12,21,10
2014,Adrian Sutil,Belgium,Soft New,22,34,13
2014,Adrian Sutil,Belgium,Soft New,35,44,10
2014,Esteban Gutierrez,Belgium,Soft New,1,14,14
2014,Esteban Gutierrez,Belgium,Soft New,15,30,16
2014,Esteban Gutierrez,Belgium,Medium New,31,44,14
2014,Max Chilton,Belgium,Soft New,1,11,11
2014,Max Chilton,Belgium,Medium New,12,29,18
2014,Max Chilton,Belgium,Soft New,30,43,14
2014,Marcus Ericsson,Belgium,Soft New,1,11,11
2014,Marcus Ericsson,Belgium,Medium New,12,24,13
2014,Marcus Ericsson,Belgium,Soft New,25,43,19
2014,Jules Bianchi,Belgium,Soft New,1,1,1
2014,Jules Bianchi,Belgium,Soft New,2,23,22
2014,Jules Bianchi,Belgium,Medium New,24,39,16
2014,Lewis Hamilton,Belgium,Soft New,1,2,2
2014,Lewis Hamilton,Belgium,Medium New,3,17,15
2014,Lewis Hamilton,Belgium,Soft New,18,31,14
2014,Lewis Hamilton,Belgium,Soft New,32,39,8
2014,Romain Grosjean,Belgium,Soft New,1,1,1
2014,Romain Grosjean,Belgium,Medium New,2,13,12
2014,Romain Grosjean,Belgium,Soft New,14,27,14
2014,Romain Grosjean,Belgium,Soft New,28,33,6
2014,Pastor Maldonado,Belgium,Soft New,1,1,1
2014,Andre Lotterer,Belgium,Soft New,1,1,1
2014,Lewis Hamilton,Italy,Medium Used,1,25,25
2014,Lewis Hamilton,Italy,Hard New,26,53,28
2014,Nico Rosberg,Italy,Medium Used,1,24,24
2014,Nico Rosberg,Italy,Hard New,25,53,29
2014,Felipe Massa,Italy,Medium Used,1,23,23
2014,Felipe Massa,Italy,Hard New,24,53,30
2014,Valtteri Bottas,Italy,Medium Used,1,24,24
2014,Valtteri Bottas,Italy,Hard New,25,53,29
2014,Daniel Ricciardo,Italy,Hard New,27,53,27
2014,Daniel Ricciardo,Italy,Medium Used,1,26,26
2014,Sebastian Vettel,Italy,Medium Used,1,18,18
2014,Sebastian Vettel,Italy,Hard New,19,53,35
2014,Sergio Perez,Italy,Medium Used,1,19,19
2014,Sergio Perez,Italy,Hard New,20,53,34
2014,Jenson Button,Italy,Medium Used,1,22,22
2014,Jenson Button,Italy,Hard New,23,53,31
2014,Kimi Räikkönen,Italy,Medium New,1,20,20
2014,Kimi Räikkönen,Italy,Hard New,21,53,33
2014,Kevin Magnussen,Italy,Medium Used,1,21,21
2014,Kevin Magnussen,Italy,Hard New,22,53,32
2014,Daniil Kvyat,Italy,Hard New,1,30,30
2014,Daniil Kvyat,Italy,Medium New,31,53,23
2014,Nico Hulkenberg,Italy,Hard New,1,19,19
2014,Nico Hulkenberg,Italy,Medium New,20,53,34
2014,Jean-Eric Vergne,Italy,Medium New,1,24,24
2014,Jean-Eric Vergne,Italy,Hard New,25,53,29
2014,Pastor Maldonado,Italy,Medium New,1,21,21
2014,Pastor Maldonado,Italy,Hard New,22,52,31
2014,Adrian Sutil,Italy,Hard New,1,24,24
2014,Adrian Sutil,Italy,Medium New,25,52,28
2014,Romain Grosjean,Italy,Hard New,1,20,20
2014,Romain Grosjean,Italy,Medium New,21,52,32
2014,Kamui Kobayashi,Italy,Medium New,1,22,22
2014,Kamui Kobayashi,Italy,Hard New,23,52,30
2014,Jules Bianchi,Italy,Medium New,1,27,27
2014,Jules Bianchi,Italy,Hard New,28,52,25
2014,Esteban Gutierrez,Italy,Hard New,1,9,9
2014,Esteban Gutierrez,Italy,Medium New,10,36,27
2014,Esteban Gutierrez,Italy,Medium Used,37,49,13
2014,Esteban Gutierrez,Italy,Medium Used,50,51,2
2014,Marcus Ericsson,Italy,Hard New,1,30,30
2014,Marcus Ericsson,Italy,Medium New,31,51,21
2014,Fernando Alonso,Italy,Medium Used,1,21,21
2014,Fernando Alonso,Italy,Hard New,22,28,7
2014,Max Chilton,Italy,Medium New,1,5,5
2014,Lewis Hamilton,Singapore,Supersoft Used,1,13,13
2014,Lewis Hamilton,Singapore,Supersoft Used,14,26,13
2014,Lewis Hamilton,Singapore,Supersoft Used,27,52,26
2014,Lewis Hamilton,Singapore,Soft New,53,60,8
2014,Sebastian Vettel,Singapore,Supersoft Used,1,12,12
2014,Sebastian Vettel,Singapore,Supersoft Used,13,25,13
2014,Sebastian Vettel,Singapore,Soft New,26,60,35
2014,Daniel Ricciardo,Singapore,Supersoft Used,1,12,12
2014,Daniel Ricciardo,Singapore,Supersoft Used,13,27,15
2014,Daniel Ricciardo,Singapore,Soft New,28,60,33
2014,Fernando Alonso,Singapore,Supersoft Used,1,12,12
2014,Fernando Alonso,Singapore,Supersoft Used,13,24,12
2014,Fernando Alonso,Singapore,Supersoft Used,25,31,7
2014,Fernando Alonso,Singapore,Soft New,32,60,29
2014,Felipe Massa,Singapore,Supersoft Used,1,10,10
2014,Felipe Massa,Singapore,Supersoft Used,11,22,12
2014,Felipe Massa,Singapore,Soft New,23,60,38
2014,Jean-Eric Vergne,Singapore,Supersoft Used,1,11,11
2014,Jean-Eric Vergne,Singapore,Supersoft New,12,24,13
2014,Jean-Eric Vergne,Singapore,Supersoft Used,25,44,20
2014,Jean-Eric Vergne,Singapore,Soft New,45,60,16
2014,Sergio Perez,Singapore,Supersoft Used,1,15,15
2014,Sergio Perez,Singapore,Soft New,16,29,14
2014,Sergio Perez,Singapore,Supersoft New,30,31,2
2014,Sergio Perez,Singapore,Soft New,32,44,13
2014,Sergio Perez,Singapore,Supersoft Used,45,60,16
2014,Kimi Räikkönen,Singapore,Supersoft Used,1,11,11
